"Toujours pas de con",diner_de_cons_001_cherche_un_con
"Un champion du monde",diner_de_cons_002_un_champion_du_monde
"Aux chiottes l'OM",diner_de_cons_003_aux_chiottes_l_om
"Regardez moi ce connard",diner_de_cons_004_regardez_moi_ce_connard
"C'est un abrutis",diner_de_cons_005_c_est_un_abrutis
"Con de classe mondiale",diner_de_cons_006_con_classe_mondiale
"Message répondeur Pignon",diner_de_cons_007_message_repondeur_pignon
"Tête de vainqueur",diner_de_cons_008_tete_de_vainqueur
"Pourquoi je discute avec cet abrutis",diner_de_cons_009_discute_abrutis
"Marlène Sasseur",diner_de_cons_010_marlene_sasoeur
"Bonne nuit monsieur Brochant",diner_de_cons_011_bonne_nuit_monsieur_brochant
"Mr Pignon",diner_de_cons_012_monsieur_pignon
"Vous me prenez pour un imbécile",diner_de_cons_013_prennez_pour_un_imbecile
"Bougrement intelligent",diner_de_cons_014_bougrement_intelligent
"Juste Leblanc",diner_de_cons_015_juste_leblanc
"C'est Juste son prénom",diner_de_cons_016_juste_son_prenom
"Ça dépasse tout ce que j'ai pu imaginer",diner_de_cons_017_ca_depasse_l_entendement
"Reposez jamais ?",diner_de_cons_018_reposez_jamais
"La classe mondiale",diner_de_cons_019_la_classe_mondiale
"Ça n'arrête pas ce soir",diner_de_cons_020_ca_n_arrete_pas_ce_soir
"Si c'est pour rigoler",diner_de_cons_021_rigoler_renter_chez_toi
"Il a viré ma femme",diner_de_cons_022_il_a_vire_ma_femme
"Dans le cul l'OM",diner_de_cons_023_dans_le_cul_l_om
"Hors concours celui là",diner_de_cons_024_hors_concours_celui_la
"Le cochon",diner_de_cons_025_le_cochon
"J'ai dit allez l'OM",diner_de_cons_026_j_ai_dit_allez_l_om
"Il est où ce baisodrome?",diner_de_cons_027_il_est_ou_le_baisodrome
"L'adresse bordel",diner_de_cons_028_l_adresse_bordel
"On va avoir besoin de moi",diner_de_cons_029_on_va_avoir_besoin_de_moi
"C'est le stratège",diner_de_cons_030_c_est_le_stratege
"Évidemment que tu te rhabilles !",diner_de_cons_031_evidement_tu_te_rhabilles
"J'avais dit à gauche",diner_de_cons_032_j_avais_dit_a_gauche
"Invité à un donner de con ?",diner_de_cons_033_invite_dinner_de_con
"Vous avez vengé tous les cons",diner_de_cons_034_venge_tous_les_cons
"Il est méchant Mr Brochant",diner_de_cons_035_mechant_mr_brochant
"Méchant/Mignon",diner_de_cons_036_mechant_mignon
"Mr Pignon le con",diner_de_cons_037_pignon_le_con
"Fatiguant d'être intelligent",diner_de_cons_038_epuisant_etre_intelligent
"C'est vous qui m'invitez",diner_de_cons_038_vous_m_invitez
